Reporting starts,Reporting ends,Campaign name,Ad set name,Amount spent (BRL),Impressions,Reach,Frequency,Link clicks,Cost per link click (BRL),CTR (link click-through rate),"CPM (cost per 1,000 impressions)",Adds to cart,Checkouts initiated,Purchases,Purchases conversion value,Website purchase ROAS (return on ad spend)
2026-07-13,2026-07-13,Relógios — sempre ativo,Interesse — relógios,"96,38",4920,3258,"1,51",44,"2,19","0,89%","19,59",5,1,1,"198,53","2,06"
2026-07-13,2026-07-13,Relógios — sempre ativo,Retargeting — 30 dias,"62,93",3213,2128,"1,51",29,"2,17","0,90%","19,59",3,0,0,"0,00","0,00"
2026-07-14,2026-07-14,Relógios — sempre ativo,Lookalike 1% — compradores,"98,24",5527,3589,"1,54",68,"1,44","1,23%","17,77",6,1,0,"0,00","0,00"
2026-07-14,2026-07-14,Relógios — sempre ativo,Interesse — relógios,"106,55",5994,3892,"1,54",74,"1,44","1,23%","17,78",6,1,1,"198,53","1,86"
2026-07-14,2026-07-14,Relógios — sempre ativo,Retargeting — 30 dias,"41,14",2314,1503,"1,54",28,"1,47","1,21%","17,78",3,0,0,"0,00","0,00"
2026-07-15,2026-07-15,Relógios — sempre ativo,Lookalike 1% — compradores,"121,52",5923,3773,"1,57",61,"1,99","1,03%","20,52",6,1,1,"198,53","1,63"
2026-07-15,2026-07-15,Relógios — sempre ativo,Interesse — relógios,"106,49",5190,3306,"1,57",54,"1,97","1,04%","20,52",5,0,0,"0,00","0,00"
2026-07-15,2026-07-15,Relógios — sempre ativo,Retargeting — 30 dias,"29,77",1451,924,"1,57",15,"1,98","1,03%","20,52",1,0,0,"0,00","0,00"
2026-07-16,2026-07-16,Relógios — sempre ativo,Lookalike 1% — compradores,"126,13",6756,4223,"1,60",71,"1,78","1,05%","18,67",7,1,1,"198,53","1,57"
2026-07-16,2026-07-16,Relógios — sempre ativo,Interesse — relógios,"78,54",4207,2629,"1,60",44,"1,79","1,05%","18,67",4,1,0,"0,00","0,00"
2026-07-16,2026-07-16,Relógios — sempre ativo,Retargeting — 30 dias,"30,94",1657,1036,"1,60",17,"1,82","1,03%","18,67",2,0,0,"0,00","0,00"
2026-07-17,2026-07-17,Relógios — sempre ativo,Lookalike 1% — compradores,"144,94",7568,4643,"1,63",71,"2,04","0,94%","19,15",9,1,1,"198,53","1,37"
2026-07-17,2026-07-17,Relógios — sempre ativo,Interesse — relógios,"68,37",3569,2190,"1,63",33,"2,07","0,92%","19,16",4,1,0,"0,00","0,00"
2026-07-17,2026-07-17,Relógios — sempre ativo,Retargeting — 30 dias,"53,37",2787,1709,"1,63",26,"2,05","0,93%","19,15",4,0,0,"0,00","0,00"
2026-07-18,2026-07-18,Relógios — sempre ativo,Lookalike 1% — compradores,"127,83",5447,3281,"1,66",56,"2,28","1,03%","23,47",6,1,1,"198,53","1,55"
2026-07-18,2026-07-18,Relógios — sempre ativo,Interesse — relógios,"61,75",2631,1585,"1,66",27,"2,29","1,03%","23,47",3,0,0,"0,00","0,00"
2026-07-18,2026-07-18,Relógios — sempre ativo,Retargeting — 30 dias,"70,15",2989,1801,"1,66",31,"2,26","1,04%","23,47",4,1,0,"0,00","0,00"
2026-07-19,2026-07-19,Relógios — sempre ativo,Lookalike 1% — compradores,"99,96",5041,2983,"1,69",51,"1,96","1,01%","19,83",6,1,1,"198,53","1,99"
2026-07-19,2026-07-19,Relógios — sempre ativo,Interesse — relógios,"69,31",3496,2068,"1,69",35,"1,98","1,00%","19,83",4,0,0,"0,00","0,00"
2026-07-19,2026-07-19,Relógios — sempre ativo,Retargeting — 30 dias,"69,50",3505,2074,"1,69",35,"1,99","1,00%","19,83",4,1,0,"0,00","0,00"
2026-07-20,2026-07-20,Relógios — sempre ativo,Lookalike 1% — compradores,"84,48",4370,2541,"1,72",62,"1,36","1,42%","19,33",6,1,0,"0,00","0,00"
2026-07-20,2026-07-20,Relógios — sempre ativo,Interesse — relógios,"84,67",4380,2546,"1,72",63,"1,34","1,44%","19,33",6,1,1,"198,53","2,34"
2026-07-20,2026-07-20,Relógios — sempre ativo,Retargeting — 30 dias,"55,28",2860,1663,"1,72",41,"1,35","1,43%","19,33",4,0,0,"0,00","0,00"
2026-07-21,2026-07-21,Relógios — sempre ativo,Lookalike 1% — compradores,"100,35",5609,3205,"1,75",55,"1,82","0,98%","17,89",8,1,0,"0,00","0,00"
2026-07-21,2026-07-21,Relógios — sempre ativo,Interesse — relógios,"108,84",6084,3477,"1,75",59,"1,84","0,97%","17,89",9,1,1,"198,53","1,82"
2026-07-21,2026-07-21,Relógios — sempre ativo,Retargeting — 30 dias,"42,01",2349,1342,"1,75",23,"1,83","0,98%","17,88",3,0,0,"0,00","0,00"
2026-07-22,2026-07-22,Relógios — sempre ativo,Lookalike 1% — compradores,"110,93",6534,3671,"1,78",71,"1,56","1,09%","16,98",7,2,1,"198,53","1,79"
2026-07-22,2026-07-22,Relógios — sempre ativo,Interesse — relógios,"97,21",5726,3217,"1,78",62,"1,57","1,08%","16,98",7,1,1,"198,53","2,04"
2026-07-22,2026-07-22,Relógios — sempre ativo,Retargeting — 30 dias,"27,18",1601,899,"1,78",18,"1,51","1,12%","16,98",2,0,0,"0,00","0,00"
2026-07-23,2026-07-23,Relógios — sempre ativo,Lookalike 1% — compradores,"139,69",7241,4000,"1,81",84,"1,66","1,16%","19,29",9,1,1,"198,53","1,42"
2026-07-23,2026-07-23,Relógios — sempre ativo,Interesse — relógios,"86,97",4508,2491,"1,81",52,"1,67","1,15%","19,29",5,1,0,"0,00","0,00"
2026-07-23,2026-07-23,Relógios — sempre ativo,Retargeting — 30 dias,"34,26",1776,981,"1,81",20,"1,71","1,13%","19,29",2,0,0,"0,00","0,00"
2026-07-24,2026-07-24,Relógios — sempre ativo,Lookalike 1% — compradores,"139,33",8086,4395,"1,84",77,"1,81","0,95%","17,23",8,1,1,"198,53","1,42"
2026-07-24,2026-07-24,Relógios — sempre ativo,Interesse — relógios,"65,71",3814,2073,"1,84",36,"1,83","0,94%","17,23",4,1,1,"198,53","3,02"
2026-07-24,2026-07-24,Relógios — sempre ativo,Retargeting — 30 dias,"51,30",2978,1618,"1,84",29,"1,77","0,97%","17,23",3,0,0,"0,00","0,00"
2026-07-25,2026-07-25,Relógios — sempre ativo,Lookalike 1% — compradores,"129,97",7001,3743,"1,87",68,"1,91","0,97%","18,56",7,1,1,"198,53","1,53"
2026-07-25,2026-07-25,Relógios — sempre ativo,Interesse — relógios,"62,78",3382,1809,"1,87",33,"1,90","0,98%","18,56",4,0,0,"0,00","0,00"
2026-07-25,2026-07-25,Relógios — sempre ativo,Retargeting — 30 dias,"71,32",3841,2054,"1,87",37,"1,93","0,96%","18,57",4,1,0,"0,00","0,00"
2026-07-26,2026-07-26,Relógios — sempre ativo,Lookalike 1% — compradores,"105,56",5188,2731,"1,90",43,"2,45","0,83%","20,35",5,1,1,"198,53","1,88"
2026-07-26,2026-07-26,Relógios — sempre ativo,Interesse — relógios,"73,20",3598,1893,"1,90",29,"2,52","0,81%","20,34",3,0,0,"0,00","0,00"
2026-07-26,2026-07-26,Relógios — sempre ativo,Retargeting — 30 dias,"73,40",3608,1899,"1,90",30,"2,45","0,83%","20,34",3,0,0,"0,00","0,00"
2026-07-27,2026-07-27,Relógios — sempre ativo,Lookalike 1% — compradores,"96,40",4521,2342,"1,93",58,"1,66","1,28%","21,32",6,1,0,"0,00","0,00"
2026-07-27,2026-07-27,Relógios — sempre ativo,Interesse — relógios,"96,61",4531,2348,"1,93",58,"1,67","1,28%","21,32",6,1,1,"198,53","2,05"
2026-07-27,2026-07-27,Relógios — sempre ativo,Retargeting — 30 dias,"63,08",2959,1533,"1,93",38,"1,66","1,28%","21,32",4,0,0,"0,00","0,00"
2026-07-28,2026-07-28,Relógios — sempre ativo,Lookalike 1% — compradores,"101,30",5723,2920,"1,96",60,"1,69","1,05%","17,70",8,1,0,"0,00","0,00"
2026-07-28,2026-07-28,Relógios — sempre ativo,Interesse — relógios,"109,86",6207,3167,"1,96",65,"1,69","1,05%","17,70",9,1,1,"198,53","1,81"
2026-07-28,2026-07-28,Relógios — sempre ativo,Retargeting — 30 dias,"42,41",2396,1222,"1,96",25,"1,70","1,04%","17,70",4,0,0,"0,00","0,00"
2026-07-29,2026-07-29,Relógios — sempre ativo,Lookalike 1% — compradores,"114,67",5481,2754,"1,99",52,"2,21","0,95%","20,92",5,1,0,"0,00","0,00"
2026-07-29,2026-07-29,Relógios — sempre ativo,Interesse — relógios,"100,49",4804,2414,"1,99",46,"2,18","0,96%","20,92",5,0,0,"0,00","0,00"
2026-07-29,2026-07-29,Relógios — sempre ativo,Retargeting — 30 dias,"28,10",1343,675,"1,99",13,"2,16","0,97%","20,92",1,0,0,"0,00","0,00"
2026-07-30,2026-07-30,Relógios — sempre ativo,Lookalike 1% — compradores,"132,17",6626,3280,"2,02",84,"1,57","1,27%","19,95",7,1,1,"198,53","1,50"
2026-07-30,2026-07-30,Relógios — sempre ativo,Interesse — relógios,"82,29",4125,2042,"2,02",52,"1,58","1,26%","19,95",5,1,0,"0,00","0,00"
2026-07-30,2026-07-30,Relógios — sempre ativo,Retargeting — 30 dias,"32,42",1625,805,"2,02",21,"1,54","1,29%","19,95",2,0,0,"0,00","0,00"
